Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Zone de texte 1,Zone de texte 2,Zone de texte 3
1,Page,,,,,,,,,Page 1,,
2,Classe,UML,1,,,,,,,"<<interface>>
Administrator",,"+ createAgency() : void
+ readAgency() : Agency
+ updateAgency() : void
+ deleteAgency() : void

+ createUser() : void
+ readUser() : Agency
+ updateUser() : void
+ deleteUser() : void"
3,Classe,UML,1,,,,,,,"<<interface>>
Client",,"+ refillCar() : void

+ startRent() : void
+ endRent() : void

+ readProfile() : User
+ updateProfile() : void
+ deleteProfile() : void

+ listRents() : Rent[

+ sendPicture() : void
+ sendPriceBill() : void

+ signUp() :  void
+ signout() : void+ "
4,Classe,UML,1,,,,,,,BaseCar,"- km : int
- price : int
- year : int
- availability : Boolean
- onrent: Boolean",
5,Classe,UML,1,,,,,,,BaseAddress,- number : int ,
6,Classe,UML,1,,,,,,,BaseAgency,- name : String,
7,Classe,UML,1,,,,,,,"<<interface>>
Manager",,
8,Classe,UML,1,,,,,,,BasecreditCard,"- expirationDate : Date

- lastName : String = 32
- firstName : String = 32

- cardNumber : int = 16",
9,Classe,UML,1,,,,,,,BaseLocalization,"- latitude : Double
- longitude : Double",
10,Classe,UML,1,,,,,,,BaseCity,"- name : String = 32

- zipCode : String =  5

",
11,Classe,UML,1,,,,,,,BaseCountry,"- name : String = 32


",
12,Classe,UML,1,,,,,,,BaseStreet,- name : String = 32,
13,Classe,UML,1,,,,,,,BaseSuffix,- name : String = 8,
14,Classe,UML,1,,,,,,,BaseBrand,- name : String = 32,
15,Classe,UML,1,,,,,,,BaseModel,- name : String = 32,
16,Classe,UML,1,,,,,,,BaseColor,- name : String = 32,
17,Classe,UML,1,,,,,,,BaseEnergy,"- max :  int
- current : int",
18,Classe,UML,1,,,,,,,BaseEnergyType,- name : String : 32,
19,Classe,UML,1,,,,,,,BaseUserStatus,name : String,
20,Classe,UML,1,,,,,,,BaseRent,"- startDate Time: DateTime
- endDateTime : DateTime",
21,Classe,UML,1,,,,,,,BaseBill,"- price : Double
- date : Date",
22,Classe,UML,1,,,,,,,BaseClient,,
